IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd
1,2725.25,3489.25,1,0,2,34,4,300,11,70.6176,65.2059,70.7647,19.3432,19.3316,18.5534
1,2310.5,2821.5,1,0,2,366,11,44,8,136.959,134.719,129.459,10.8722,11.3221,11.6444
1,2313,2800.5,1,0,2,430,13,52,8,135.988,135.437,128.335,12.3107,12.1307,13.1695
1,1399.79,2602.4,1,0,3,701,18,54,10,142.278,141.405,133.077,12.5372,12.9635,14.1008
1,2141.2,2364.9,1,0,3,284,9,44,12,138.264,134.736,126.211,10.1941,10.5352,12.2537
1,2123.4,2339.11,1,0,3,382,12,38,8,136.461,133.28,128.118,10.7187,10.5899,11.2994
1,2180.1,2352.2,1,0,3,412,12,30,8,139.325,135.036,131.299,11.4464,11.4578,11.8548
1,2160.25,2335.75,1,0,3,240,9,44,11,137.208,134.233,126.479,9.72486,9.78041,10.5899
1,2149.5,2324,1,0,3,298,11,46,9,136.446,133.926,126.946,11.7056,11.9741,13.196
1,1901,2289,1,0,2,252,10,42,10,137.583,134.694,127.54,7.93314,7.91659,7.95524
1,1921,2285,1,0,2,255,10,54,11,137.698,136.627,126.718,7.06687,6.90367,7.72183
1,2134.45,2177.38,1,0,2,285,10,38,12,139.937,135.744,128.961,9.79491,9.79519,10.7175
1,2147.75,2170.75,1,0,2,176,8,26,8,143.835,140.091,137.165,9.00292,9.15773,9.29369
1,1970.5,1690.5,1,0,2,391,11,44,13,138.647,135.91,127.312,10.3057,10.2208,11.2406
1,1992.76,1687.82,1,0,2,381,12,44,8,136.619,134.745,128.895,10.3595,10.3394,10.7569
1,2659.5,1627,1,0,2,364,11,60,8,129.83,129.615,121.621,8.5399,8.47379,9.53977
1,2674.5,1616,1,0,2,56,5,60,5,139.446,138.643,133.643,4.04091,4.03214,4.39868
1,220.5,1437.5,1,0,2,38,4,222,15,82.4474,85.3947,92.3684,17.6175,17.4741,17.5822
1,222,1432,1,0,2,54,5,220,18,59.2037,61.8148,68.4259,20.0004,19.8612,20.2869
1,258,1314,1,0,2,24,4,224,18,71.9167,74.75,83,14.1527,14.0839,15.1863
1,260,1309,1,0,2,50,5,222,17,67.98,70.9,78.1,17.2068,17.1137,17.3771
1,310.731,1192.65,1,0,2,40,5,224,21,61.25,64,71.525,18.3028,18.2293,18.0059
1,313,1187,1,0,2,28,4,218,12,82.7857,85.8214,90.8214,16.4951,16.8251,16.5105
1,332.8,1101.1,1,0,2,88,6,210,17,55.3636,59.0795,62.8977,8.17347,7.83278,7.75385
1,338,1092,1,0,2,89,6,206,14,62.1798,66.4382,69.3933,7.92911,7.5118,7.9454
1,369,1030,1,0,2,26,4,230,14,51.3077,52.2692,56.8077,6.86888,6.64704,6.61604
1,372.5,1025.5,1,0,2,32,4,240,13,53.6875,54.4688,60.0312,6.25855,6.19004,6.15682
1,1427,1025,1,0,2,167,8,40,6,134.108,131.749,127.737,8.24013,8.49189,8.21376
1,1426.5,1009,1,0,2,358,11,50,6,127.877,126.972,122.472,9.99854,10.107,10.0593
1,1121,909,1,0,2,501,14,50,6,128.341,126.826,122.257,10.5532,10.8075,11.1771
1,1133,887.5,1,0,2,479,13,72,5,125.804,126.591,121.975,10.9732,10.926,11.0389
1,464.75,853.25,1,0,2,59,5,240,11,88.1356,88.339,95.7119,6.77093,6.82109,6.42765
1,460.5,847,1,0,2,86,6,236,17,82.2674,83.4535,93.8372,8.12092,8.55393,8.61403
1,1554,3078.5,1,0,1,327,11,68,8,149.113,150.404,143,11.0486,11.0294,11.8701
1,1504.5,2932,1,0,1,495,14,68,8,142.297,143.226,135.638,13.0048,13.2931,14.769
